
2024/12/26 (20:42:19) | ===> btop++ v.1.4.0
2024/12/26 (20:42:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (09:22:19) | ===> btop++ v.1.4.0
2025/01/17 (09:22:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (14:35:38) | ===> btop++ v.1.4.0
2025/01/17 (14:35:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (10:48:33) | ===> btop++ v.1.4.0
2025/03/21 (10:48:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (12:52:21) | ===> btop++ v.1.4.0
2025/03/21 (12:52:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (12:53:14) | ===> btop++ v.1.4.0
2025/03/21 (12:53:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/13 (12:43:14) | ===> btop++ v.1.4.0
2025/05/13 (12:43:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/03 (13:32:52) | ===> btop++ v.1.4.0
2025/07/03 (13:32:52) | WARNING: Intel GPU: Failed to initialize PMU
